	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
È possibile accedere all'infrastruttura su cui viene eseguito amazon sagemaker?											No. Amazon SageMaker gestisce automaticamente l'infrastruttura di elaborazione, consentendo l'esecuzione di controlli dello stato, l'applicazione di patch di sicurezza e altre attività di manutenzione di routine. È anche possibile distribuire artefatti di modelli provenienti dai processi di addestramento con codice di inferenza personalizzato nell'ambiente di hosting aziendale.			
In che modo è possibile ricalibrare le dimensioni e le prestazioni di un modello di amazon sagemaker una volta avviata la fase di produzione?											L'hosting di Amazon SageMaker viene ricalibrato automaticamente mediante Application Auto Scaling in base alle prestazioni necessarie all'applicazione. Inoltre, è possibile modificare manualmente il tipo e il numero di istanze senza interrompere l'operatività apportando modifiche alla configurazione dell'endpoint.			
In che modo è possibile monitorare l'ambiente di produzione di amazon sagemaker?											Amazon SageMaker può inoltrare i propri parametri prestazionali in Amazon CloudWatch per permetterne il monitoraggio, per impostare allarmi e configurare operazioni da eseguire in base alle variazioni del traffico. Inoltre, Amazon SageMaker trascrive i propri log in Amazon CloudWatch Logs per favorire monitoraggio e risoluzione dei problemi negli ambienti di produzione.			
Quali tipi di modelli possono essere conservati in hosting con amazon sagemaker?											Amazon SageMaker è compatibile con l'hosting di qualsiasi modello conforme alle specifiche documentate per le immagini Docker di inferenza. Sono pertanto inclusi i modelli creati a partire da codice di inferenza e artefatti di modello di Amazon SageMaker.			
Quante richieste simultanee in tempo reale dell'api supporta amazon sagemaker?											Amazon SageMaker è stato progettato per ricalibrare le risorse fino a supportare un numero elevato di transazioni al secondo. Il numero preciso varia in base al modello distribuito e a tipo e numero di istanze in cui il modello è stato implementato.			
Che cos'è la trasformazione in batch?											La trasformazione in batch abilita ad eseguire analisi predittive su batch di dati di piccole e grandi dimensioni. Non è necessario porzionare il set di dati o gestire gli endpoint in tempo reale. È possibile richiedere analisi predittive con una semplice API per un numero elevato di record di dati, eseguendone la trasformazione in modo rapido e semplice.			
Cos’è amazon sagemaker edge manager?											Il Gestore di bordo Amazon SageMaker semplifica l'ottimizzazione, la sicurezza, il monitoraggio e la manutenzione di modelli di ML su flotte di dispositivi edge come telecamere intelligenti, robot, personal computer e dispositivi mobili. Il Gestore di bordo SageMaker aiuta gli sviluppatori di ML a utilizzare i modelli di ML su una varietà di dispositivi edge su larga scala.  D: Come possono iniziare a utilizzare il Gestore di bordo Amazon SageMaker?  Per iniziare a utilizzare il Gestore di bordo Amazon SageMaker è necessario compilare e confezionare i modelli addestrati di ML nel cloud, registrare i dispositivi e prepararli con l'SDK Gestore di bordo SageMaker. Per preparare il modello per l'implementazione, il Gestore di bordo SageMaker utilizza SageMaker Neo per compilare il modello per l'hardware edge di destinazione. Una volta compilato un modello, SageMaker Edge Manager firma il modello con una chiave generata da AWS, quindi confeziona il modello con il proprio runtime e le credenziali necessarie per prepararlo all’implementazione. Dal lato del dispositivo, si registra il dispositivo con SageMaker Edge Manager, si scarica l'SDK di SageMaker Edge Manager e si seguono le istruzioni per installare l'agente SageMaker Edge Manager sui propri dispositivi. Il notebook del tutorial fornisce un esempio passo per passo di come è possibile preparare i modelli e collegarli con il Gestore di bordo SageMaker sui dispositivi edge.			
Quali sono i dispositivi supportati dal gestore di bordo amazon sagemaker?											Amazon SageMaker Edge Manager supporta i comuni dispositivi basati su CPU (ARM, x86) e GPU (ARM, Nvidia) con sistemi operativi Linux e Windows. Nel corso del tempo, SageMaker Edge Manager si espanderà per supportare più processori incorporati e piattaforme mobili che sono supportati anche da SageMaker Neo.			
Devo utilizzare amazon sagemaker per addestrare il mio modello e poter utilizzare amazon sagemaker edge manager?											No. È possibile addestrare i propri modelli altrove o utilizzare un modello preaddestrato open source o un modello del tuo fornitore.			
Devo utilizzare amazon sagemaker neo per compilare il mio modello e poter utilizzare amazon sagemaker edge manager?											Sì. Amazon SageMaker Neo converte e compila i propri modelli in un eseguibile che è poi possibile confezionare e implementare sui tuoi dispositivi edge. Una volta che il pacchetto del modello è implementato, l'agente di Amazon SageMaker Edge Manager decomprimerà il pacchetto ed eseguirà il modello sul dispositivo.			
Come faccio a distribuire i modelli ai dispositivi edge?											Amazon SageMaker Edge Manager archivia il pacchetto del modello nel proprio specifico bucket di Amazon S3. È possibile utilizzare la funzione di distribuzione over-the-air (OTA) fornita da AWS IoT Greengrass o qualsiasi altro meccanismo di distribuzione a scelta per distribuire il pacchetto del modello dal proprio bucket S3 ai dispositivi.			
In che modo l’sdk di amazon sagemaker edge manager è diverso dal runtime di sagemaker neo (dlr)?											Neo dlr è un runtime open source che esegue solo modelli compilati dal servizio Amazon SageMaker Neo. Rispetto all'open source dlr, l'SDK di SageMaker Edge Manager include un agente di livello aziendale integrato nel dispositivo con ulteriore sicurezza, gestione dei modelli e funzionalità di model serving. L’SDK di SageMaker Edge Manager è adatto per la distribuzione della produzione su larga scala.			
Come è collegato amazon sagemaker edge manager con aws iot greengrass?											Amazon SageMaker Edge Manager e AWS IoT Greengrass possono lavorare insieme alla tua soluzione di IoT. Una volta che il modello di ML è confezionato con SageMaker Edge Manager, è possibile utilizzare la funzione di aggiornamento OTA di AWS Iot Greengrass per implementare il pacchetto del modello sul proprio dispositivo. AWS IoT Greengrass permette di monitorare i dispositivi IoT da remoto, mentre SageMaker Edge Manager aiuta a monitorare e mantenere i modelli di ML sui dispositivi.			
Come è collegato amazon sagemaker edge manager con aws panorama?											Quando si deve usare Amazon SageMaker Edge Manager e quando AWS Panorama?  AWS offre la massima portata e completezza delle funzionalità per l'esecuzione di modelli su dispositivi edge. Disponiamo di servizi che supportano una vasta gamma di casi d'uso tra cui la visione computerizzata, il riconoscimento vocale e la manutenzione predittiva. Per le aziende che intendono eseguire la visione computerizzata su dispositivi edge come telecamere e elettrodomestici, è possibile utilizzare AWS Panorama. Panorama offre applicazioni di visione computerizzata pronte all’uso per i dispositivi edge. È facile iniziare con AWS Panorama accedendo alla console cloud, specificando il modello che si desidera utilizzare in Amazon S3 o in SageMaker, e poi scrivendo la logica aziendale come script python. AWS Panorama compila il modello per il dispositivo di destinazione e crea un pacchetto di applicazioni in modo che possa essere distribuito ai propri dispositivi con pochi clic. Inoltre, i produttori di software indipendenti che vogliono creare le proprie applicazioni personalizzate possono utilizzare AWS Panorama SDK, mentre i produttori di dispositivi possono utilizzare Device SDK per certificare i propri dispositivi per AWS Panorama. I clienti che vogliono creare i propri modelli e hanno un controllo più granulare delle caratteristiche del modello, possono utilizzare Amazon SageMaker Edge Manager. SageMaker Edge Manager è un servizio gestito per la preparazione, l’esecuzione, il monitoraggio e l’aggiornamento di modelli di machine learning (ML) in flotte di dispositivi edge come telecamere intelligenti, altoparlanti intelligenti e robot per qualsiasi caso d’uso, come l'elaborazione del linguaggio naturale, l’individuazione delle frodi e la manutenzione predittiva. SageMaker Edge Manager è concepito per gli sviluppatori edge di ML che vogliono avere il controllo del proprio modello tra cui la progettazione di diverse funzionalità e monitorare i modelli in caso di deviazione. Qualsiasi sviluppatore edge di ML può utilizzare SageMaker Edge Manager attraverso la console e le API di SageMaker. SageMaker Edge Manager trasferisce le funzionalità di SageMaker quali creazione, addestramento e distribuzione di modelli nel cloud ai dispositivi edge.			
In quali regioni aws è disponibile amazon sagemaker edge manager?											Il Gestore di bordo Amazon SageMaker è disponibile in sei regioni AWS: Stati Uniti orientali (Virginia settentrionale), Stati Uniti orientali (Ohio), Stati Uniti occidentali (Oregon), Europa (Irlanda), Europa (Francoforte) e Asia Pacifico (Tokyo). Consulta l'elenco dei servizi per regione AWS per maggiori dettagli.			
Cos'è amazon sagemaker neo?											Amazon SageMaker Neo consente di addestrare una sola volta i modelli di ML e di eseguirli ovunque nel cloud e nell'edge. SageMaker Neo ottimizza automaticamente i modelli costruiti con framework comuni di deep learning che possono essere utilizzati per la distribuzione su più piattaforme hardware. I modelli ottimizzati vengono eseguiti fino a 25 volte più velocemente e consumano meno di un decimo delle risorse dei modelli tradizionali di machine learning.			
Come si inizia a usare amazon sagemaker neo?											Per iniziare a usare Amazon SageMaker Neo, è necessario eseguire l'accesso nella Amazon SageMaker console, scegliere un modello formato, seguire l'esempio per compilare i modelli e distribuire il modello risultante nella piattaforma hardware di destinazione.			
